Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1950,medicine,Tadeus Reichstein,20 July 1897,Wloclawek,Poland,No Data," Basel University, Basel, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1950 was awarded jointly to Edward Calvin Kendall, Tadeus Reichstein and Philip Showalter Hench for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects."
1950,peace,Ralph Bunche,07-Aug-04,Detroit MI,USA,USA," Acting Mediator in Palestine, 1948, Director, division of Trusteeship, U.N., Professor, Harvard University Cambridge, MA", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1950 was awarded to Ralph Bunche.
1950,physics,Cecil Frank Powell,05-Dec-03,Tonbridge,United Kingdom,No Data," Bristol University, Bristol, United Kingdom", Particle physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1950 was awarded to Cecil Powell for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method.
1951,chemistry,Edwin Mattison McMillan,18-Sep-07,Redondo Beach CA,USA,No Data," University of California, Berkeley, CA, USA", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1951 was awarded jointly to Edwin Mattison McMillan and Glenn Theodore Seaborg for their discoveries in the chemistry of the transuranium elements
1951,chemistry,Glenn Theodore Seaborg,19-Apr-12,Ishpeming MI,USA,No Data," University of California, Berkeley, CA, USA", Nuclear chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1951 was awarded jointly to Edwin Mattison McMillan and Glenn Theodore Seaborg for their discoveries in the chemistry of the transuranium elements
1951,literature,Pär Fabian Lagerkvist,23 May 1891,Växjö,Sweden,Sweden,No Data, Swedish,The Nobel Prize in Literature,The Nobel Prize in Literature 1951 was awarded to Pär Lagerkvist for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind.
1951,medicine,Max Theiler,30 January 1899,Pretoria,South Africa,No Data," Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation, New York, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1951 was awarded to Max Theiler for his discoveries concerning yellow fever and how to combat it.
1951,peace,Léon Jouhaux,1 July 1879,Paris,France,France," Delegate U.N., Member Council of I.L.O. (International Labour Organization), Vice President, Fédération syndicale mondiale, Vice President, International Confederation of Free Trade Unions, President, Conseil national économique and International Committee of the European Council, President, Trade Union Confederation C.G.T. Force Ouvrière"," World organizing, human rights",The Nobel Peace Prize,The Nobel Peace Prize 1951 was awarded to Léon Jouhaux.
1951,physics,Ernest Thomas Sinton Walton,06-Oct-03,Dungarvan,Ireland,No Data," Trinity College, Dublin, Ireland"," Accelerator physics, nuclear physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1951 was awarded jointly to Sir John Douglas Cockcroft and Ernest Thomas Sinton Walton for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
1951,physics,Sir John Douglas Cockcroft,27 May 1897,Todmorden,United Kingdom,No Data," Atomic Energy Research Establishment, Harwell, Berkshire, United Kingdom"," Accelerator physics, nuclear physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1951 was awarded jointly to Sir John Douglas Cockcroft and Ernest Thomas Sinton Walton for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
1952,chemistry,Archer John Porter Martin,01-Mar-10,London,United Kingdom,No Data," National Institute for Medical Research, London, United Kingdom", Analytical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1952 was awarded jointly to Archer John Porter Martin and Richard Laurence Millington Synge for their invention of partition chromatography
1952,chemistry,Richard Laurence Millington Synge,28-Oct-14,Liverpool,United Kingdom,No Data," Rowett Research Institute, Bucksburn (Scotland), United Kingdom", Analytical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1952 was awarded jointly to Archer John Porter Martin and Richard Laurence Millington Synge for their invention of partition chromatography
1952,literature,François Mauriac,11 October 1885,Bordeaux,France,France,No Data, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1952 was awarded to François Mauriac for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life.
1952,medicine,Selman Abraham Waksman,22 July 1888,Priluka (now Pryluky),Russian Empire (now Ukraine),No Data," Rutgers University, New Brunswick, NJ, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1952 was awarded to Selman A. Waksman for his discovery of streptomycin, the first antibiotic effective against tuberculosis."
1952,peace,Albert Schweitzer,14 January 1875,Kaysersberg,Germany (now France),France," Founder of Lambaréné (République de Gabon), Missionary surgeon", Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1952 was awarded to Albert Schweitzer.
1952,physics,Edward Mills Purcell,30-Aug-12,Taylorville IL,USA,No Data," Harvard University, Cambridge, MA, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1952 was awarded jointly to Felix Bloch and Edward Mills Purcell for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
1952,physics,Felix Bloch,23-Oct-05,Zurich,Switzerland,No Data," Stanford University, Stanford, CA, USA", Nuclear physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1952 was awarded jointly to Felix Bloch and Edward Mills Purcell for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
1953,chemistry,Hermann Staudinger,23 March 1881,Worms,Germany,No Data," University of Freiburg, Breisgau, Federal Republic of Germany, Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg, Breisgau, Federal Republic of Germany", Polymer chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1953 was awarded to Hermann Staudinger for his discoveries in the field of macromolecular chemistry.
1953,literature,Sir Winston Leonard Spencer Churchill,30 November 1874,Woodstock,United Kingdom,United Kingdom,No Data, English,The Nobel Prize in Literature,The Nobel Prize in Literature 1953 was awarded to Winston Churchill for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values.
1953,medicine,Fritz Albert Lipmann,12 June 1899,Koenigsberg (now Kaliningrad),Germany (now Russia),No Data," Harvard Medical School, Boston, MA, USA, Massachusetts General Hospital, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1953 was divided equally between Hans Adolf Krebs for his discovery of the citric acid cycle and Fritz Albert Lipmann for his discovery of co-enzyme A and its importance for intermediary metabolism.
1953,medicine,Hans Adolf Krebs,25-Aug-00,Hildesheim,Germany,No Data," Sheffield University, Sheffield, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1953 was divided equally between Hans Adolf Krebs for his discovery of the citric acid cycle and Fritz Albert Lipmann for his discovery of co-enzyme A and its importance for intermediary metabolism.
1953,peace,George Catlett Marshall,31 December 1880,Uniontown PA,USA,USA," Originator of Marshall Plan, Delegate U.N., ex-Secretary of State and of Defense, General President American Red Cross"," Humanitarian work, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1953 was awarded to George C. Marshall.
1953,physics,Frits (Frederik) Zernike,16 July 1888,Amsterdam,the Netherlands,No Data," Groningen University, Groningen, the Netherlands", Optical physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1953 was awarded to Frits Zernike for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope."
1954,chemistry,Linus Carl Pauling,28-Feb-01,Portland OR,USA,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA"," Theoretical chemistry, chemical bonding",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1954 was awarded to Linus Pauling for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances.
1954,literature,Ernest Miller Hemingway,21 July 1899,Oak Park IL,USA,USA,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1954 was awarded to Ernest Hemingway for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style."
1954,medicine,Frederick Chapman Robbins,25-Aug-16,Auburn AL,USA,No Data," Western Reserve University, Cleveland, OH, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
1954,medicine,John Franklin Enders,10 February 1897,West Hartford CT,USA,No Data," Harvard Medical School, Boston, MA, USA, Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
1954,medicine,Thomas Huckle Weller,15-Jun-15,Ann Arbor MI,USA,No Data," Research Division of Infectious Diseases, Children's Medical Center, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1954 was awarded jointly to John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue."
1954,peace,Office of the United Nations High Commissioner for Refugees (UNHCR),1951 in Geneva,No Data,Switzerland,No Data, An international aid organization established by the UN, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1954 was awarded to Office of the United Nations High Commissioner for Refugees.
1954,physics,Max Born,11 December 1882,Breslau (now Wroclaw),Germany (now Poland),No Data," Edinburgh University, Edinburgh, United Kingdom", Quantum mechanics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1954 was divided equally between Max Born for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction and Walther Bothe for the coincidence method and his discoveries made therewith."
1954,physics,Walther Bothe,8 January 1891,Oranienburg,Germany,No Data," University of Heidelberg, Heidelberg, Federal Republic of Germany, Max-Planck-Institut für medizinische Forschung, Heidelberg, Federal Republic of Germany", Instrumentation,The Nobel Prize in Physics,"The Nobel Prize in Physics 1954 was divided equally between Max Born for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction and Walther Bothe for the coincidence method and his discoveries made therewith."
1955,chemistry,Vincent du Vigneaud,18-May-01,Chicago IL,USA,No Data," Cornell University, Ithaca, NY, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1955 was awarded to Vincent du Vigneaud for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone."
