number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
107,Bohrium,Bh,"bohrium, Bh",i/?b??ri?m/,,107,"group 7, d-block",7,transition metal,270,[Rn] 5f14 6d5 7s2 ,2,,solid (predicted),,,,,,,,,,,,7,,"1st: 742.9 kJ/mol, 2nd: 1688.5 kJ/mol, 3rd: 2566.5 kJ/mol, (more) (all but first estimated)",141,,"hexagonal close-packed (hcp), (predicted)",,,,54037-14-8,Gesellschaft für Schwerionenforschung (1981),,"iso, NA, half-life, DM, DE (MeV), DP, 274Bh, syn, ~54 s, ?, 8.8, 270Db, 272Bh, syn, 9.8 s, ?, 9.02, 268Db, 271Bh, syn, 1.2 s, ?, 9.35, 267Db, 270Bh, syn, 61 s, ?, 8.93, 266Db, 267Bh, syn, 17 s, ?, 8.83, 263Db",,after Niels Bohr,,37.1,empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Hassium,Hs,"hassium, Hs","i/?hæsi?m/, HASS-ee-?m",silvery (predicted),108,"group 8, d-block",7,transition metal,269,[Rn] 5f14 6d6 7s2 ,2,,solid (predicted),,,,,,,,,,,,8,,"1st: 733.3 kJ/mol, 2nd: 1756.0 kJ/mol, 3rd: 2827.0 kJ/mol, (more) (all but first estimated)",134,,"hexagonal close-packed (hcp), (predicted)",,,,54037-57-9,Gesellschaft für Schwerionenforschung (1984),,"iso
NA
half-life
DM
DE (MeV)
DP


277Hs
syn
2 s
SF




277mHs ?
syn
~130 s?
SF




271Hs
syn
~4 s
?
9.27, 9.13
267Sg


270Hs
syn
3.6 s
?
9.02, 8.88
266Sg


269Hs
syn
9.7 s
?
9.21, 9.10, 8.97
265Sg",,"after Hassia, Latin for Hesse, Germany, where it was discovered",,41,empirical: 126 pm (estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Meitnerium,Mt,"meitnerium, Mt","/ma?t?n??ri?m/ or /?ma?tn?ri?m/, myt-NEER-ee-?m or MYT-n?r-ee-?m",,109,"group 9, d-block",7,"unknown, but probably a transition metal",278,[Rn] 5f14 6d7 7s2 (calculated),2,,solid (predicted),,,,,,,,,,,,9,,"1st: 800.8 kJ/mol, 2nd: 1823.6 kJ/mol, 3rd: 2904.2 kJ/mol, (more) (all estimated)",129,,"face-centered cubic (fcc), (predicted)",,,paramagnetic (predicted),54038-01-6,Gesellschaft für Schwerionenforschung (1982),,"iso, NA, half-life, DM, DE (MeV), DP, 278Mt, syn, 7.6 s, ?, 9.6, 274Bh, 276Mt, syn, 0.72 s, ?, 9.71, 272Bh, 274Mt, syn, 0.44 s, ?, 9.76, 270Bh, 270mMt ?, syn, 1.1 s, ?, 266Bh",,after Lise Meitner,,37.4,empirical: 128 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Darmstadtium,Ds,"darmstadtium, Ds","i/d??rm??t??ti?m/, darm-SHTAHT-ee-?m",,110,"group 10, d-block",7,"unknown, but probably a transition metal",281,"[Rn] 5f14 6d8 7s2, (predicted)",2,,solid (predicted),,,,,,,,,,,,8,,"1st: 955.2 kJ/mol, 2nd: 1891.1 kJ/mol, 3rd: 3029.6 kJ/mol, (more) (all estimated)",128,,"body-centered cubic (bcc), (predicted)",,,,54083-77-1,Gesellschaft für Schwerionenforschung (1994),,"iso, NA, half-life, DM, DE (MeV), DP, 281Ds, syn, 11 s, 94% SF, 6% ?, 8.67, 277Hs, 279Ds, syn, 0.20 s, 10% ?, 9.70, 275Hs, 90% SF",,"after Darmstadt, Germany, where it was discovered",,34.8,empirical: 132 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Roentgenium,Rg,"roentgenium, Rg","i/r?nt???ni?m/ or /r?nt???ni?m/, runt-GEN-ee-?m or rent-GEN-ee-?m",silvery (predicted),111,"group 11, d-block",7,"unknown, but probably a transition metal",282,[Rn] 5f14 6d9 7s2 (predicted),2,,solid (predicted),,,,,,,,,,,,5,,"1st: 1022.7 kJ/mol, 2nd: 2074.4 kJ/mol, 3rd: 3077.9 kJ/mol, (more) (all estimated)",121,,"body-centered cubic (bcc), (predicted)",,,,54386-24-2,Gesellschaft für Schwerionenforschung (1994),,"iso, NA, half-life, DM, DE (MeV), DP, 282Rg, syn, 2.1+1.4, ?0.6 min, ?, 9.00, 278Mt, 281Rg, syn, 17+6, ?3 s, SF (90%), ? (10%), 277Mt, 280Rg, syn, 3.6 s, ?, 9.75, 276Mt, 279Rg, syn, 0.17 s, ?, 10.37, 275Mt",,after Wilhelm Röntgen,,28.7,empirical: 138 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Ununbium,Uub,"copernicium, Cn","/ko?p?r?n?si?m/, koe-p?r-NIS-ee-?m",,112,"group 12, d-block",7,"transition metal, alternatively considered a post-transition metal",285,[Rn] 5f14 6d10 7s2 (predicted),2,,gas (predicted),,"357+112
?108 K (84+112
?108 °C, 183+202
?194 °F)",,,,,,,,,,4,,"1st: 1154.9 kJ/mol, 2nd: 2170.0 kJ/mol, 3rd: 3164.7 kJ/mol, (more) (all estimated)",122,,"hexagonal close-packed (hcp), (predicted)",,,,54084-26-3,Gesellschaft für Schwerionenforschung (1996),,"iso
NA
half-life
DM
DE (MeV)
DP


285Cn
syn
29 s
?
9.15, 9.03?
281Ds


283Cn
syn
4 s
90% ?
9.53, 9.32, 8.94
279Ds


10% SF",,after Nicolaus Copernicus,,23.7,empirical: 147 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ununtrium,Uut,"ununtrium, Uut","i/u?nu?n?tra??m/, oon-oon-TRY-?m",,113,"group 13, p-block",7,"unknown, but probably a post-transition metal",286,[Rn] 5f14 6d10 7s2 7p1 (predicted),2,,solid (predicted),700,1430,,,,,,7.61,130,,,"?1, 1, 3, 5 (predicted)",,"1st: 704.9 kJ/mol (predicted), 2nd: 2238.5 kJ/mol (predicted), 3rd: 3203.3 kJ/mol (predicted), (more)",172–180 pm (extrapolated),,,,,,54084-70-7,"RIKEN (2004, first undisputed)
Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003, first announced)",,"iso
NA
half-life
DM
DE (MeV)
DP


286Uut
syn
20 s
?
9.63
282Rg


285Uut
syn
5.5 s
?
9.74, 9.48
281Rg


284Uut
syn
0.48 s
?
10.00
280Rg


EC

284Cn


283Uut
syn
0.10 s
?
10.12
279Rg


282Uut
syn
70 ms
?
10.63
278Rg


278Uut
syn
0.24 ms
?
11.68
274Rg",,IUPAC systematic element name,,16,empirical: 170 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"nihonium, Nh","element 113, eka-thallium"
114,Ununquadium,Uuq,"flerovium, Fl","/fl??ro?vi?m/, fli-ROH-vee-?m",,114,"group 14 (carbon group), p-block",7,post-transition metal,289,[Rn] 5f14 6d10 7s2 7p2 (predicted),2,,solid (predicted),340,420,,,,,,,38,,,0,,"1st: 823.9 kJ/mol (predicted), 2nd: 1601.6 kJ/mol (predicted), 3rd: 3367.3 kJ/mol (predicted), (more)",171–177 pm (extrapolated),,,,,,54085-16-4,Joint Institute for Nuclear Research (JINR) and Lawrence Livermore National Laboratory (LLNL) (1999),,"iso, NA, half-life, DM, DE (MeV), DP, 289Fl, syn, 2.6 s, ?, 9.82,9.48, 285Cn, 289mFl ?, syn, 2–23 s, ?, 9.71, 285mCn ?, 288Fl, syn, 0.8 s, ?, 9.94, 284Cn, 287Fl, syn, 0.48 s, ?, 10.02, 283Cn, 287mFl ?, syn, 5.5 s, ?, 10.29, 283mCn ?, 286Fl, syn, 0.13 s, 40% ?, 10.19, 282Cn, 60% SF, 285Fl, syn, 125 ms, ?, 10.41(5), 281Cn, 284Fl, syn, 2.5+1.8, ?0.8 ms, SF",,after Flerov Laboratory of Nuclear Reactions (itself named after Georgy Flyorov),,14,empirical: 180 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Ununpentium,Uup,"ununpentium, Uup","i/u?nu?n?p?nti?m/, oon-oon-PEN-tee-?m",,115,"group 15 (pnictogens), p-block",7,"unknown, but probably a post-transition metal",289,[Rn] 5f14 6d10 7s2 7p3 (predicted),2,,solid (predicted),670,"~1400 K (~1100 °C, ~2000 °F) (predicted)",,,,,,5.90–5.98 kJ/mol (extrapolated),138,,,1,,"1st: 538.4 kJ/mol (predicted), 2nd: 1756.0 kJ/mol (predicted), 3rd: 2653.3 kJ/mol (predicted), (more)",156–158 pm (extrapolated),,,,,,54085-64-2,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2003),,"iso, NA, half-life, DM, DE (MeV), DP, 290Uup, syn, 16 ms, ?, 9.95, 286Uut, 289Uup, syn, 220 ms, ?, 10.31, 285Uut, 288Uup, syn, 87 ms, ?, 10.46, 284Uut, 287Uup, syn, 32 ms, ?, 10.59, 283Uut",,IUPAC systematic element name,,13.5,empirical: 187 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"moscovium, Mc","element 115, eka-bismuth"
116,Ununhexium,Uuh,"livermorium, Lv","/?l?v?r?m??ri?m/, LIV-?r-MOHR-ee-?m",,116,"group 16 (chalcogens), p-block",7,"unknown, but probably a post-transition metal",293,[Rn] 5f14 6d10 7s2 7p4 (predicted),2,,solid (predicted),"637–780 K (364–507 °C, 687–944 °F) (extrapolated)","1035–1135 K (762–862 °C, 1403–1583 °F) (extrapolated)",,,,,,7.61,42,,,"?2, +2, +4 (predicted)",,"1st: 723.6 kJ/mol (predicted), 2nd: 1331.5 kJ/mol (predicted), 3rd: 2846.3 kJ/mol (predicted), (more)",162–166 pm (extrapolated),,,,,,54100-71-9,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2000),,"iso, NA, half-life, DM, DE (MeV), DP, 293Lv, syn, 61 ms, ?, 10.54, 289Fl, 292Lv, syn, 18 ms, ?, 10.66, 288Fl, 291Lv, syn, 18 ms, ?, 10.74, 287Fl, 290Lv, syn, 7.1 ms, ?, 10.84, 286Fl",,"after Lawrence Livermore National Laboratory, itself named partly after Livermore, California",,12.9,empirical: 183 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ununseptium,Uus,"ununseptium, Uus","i/u?nu?n?s?pti?m/, oon-oon-SEP-tee-?m",semimetallic (predicted),117,"group 17, p-block",7,"unknown, but probably a post-transition metal",294,[Rn] 5f14 6d10 7s2 7p5 (predicted),2,,solid (predicted),"623–823 K (350–550 °C, 662–1022 °F) (predicted)",883,,,,,,,,,,"?1, +1, +3, +5 (predicted)",,"1st: 742.9 kJ/mol (predicted), 2nd: 1785.0–1920.1 kJ/mol (extrapolated)",156–157 pm (extrapolated),,,,,,54101-14-3,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2010),,"iso
NA
half-life
DM
DE (MeV)
DP


294Uus
syn
51+41
?16 ms
?
10.81
290Uup


293Uus
syn
22+8
?4 ms
?
11.11, 11.00, 10.91
289Uup",,IUPAC systematic element name,,7.1–7.3 g/cm3 (extrapolated),empirical: 138 pm (predicted),,,,,,,,,,,,,,,,,,,,,,,,,,,,"tennessine, Ts","element 117, eka-astatine"
118,Ununoctium,Uuo,"ununoctium, Uuo","i/u?n.u?n??kti?m/, oon-oon-OK-tee-?m",,118,"group 18, p-block",7,"unknown, but predicted to be a noble gas",294,[Rn] 5f14 6d10 7s2 7p6 (predicted),2,,solid (predicted),,"350±30 K (80±30 °C, 170±50 °F) (extrapolated)",,,,,439,23.5,19.4,,,"?1, 0, +1, +2, +4, +6 (predicted)",,"1st: 839.4 kJ/mol (predicted), 2nd: 1563.1 kJ/mol (predicted)",157,,,,,,54144-19-3,Joint Institute for Nuclear Research and Lawrence Livermore National Laboratory (2002),,"iso, NA, half-life, DM, DE (MeV), DP, 294Uuo, syn, ~0.89 ms, ?, 11.65±0.06, 290Lv, SF",,IUPAC systematic element name,,,,,,,,,,,,,,,4.9–5.1 g/cm3 (predicted),,,,,Niels Bohr (1922),,,,,,,,,,,"oganesson, Og","element 118, eka-radon"
